Master  Plot,LS,HQ,Crustose, Foliose, Fruticose, Squam, Bark, Non calc. rock, # Humus, PB Cyanobact., PB Absent, PB Green coccoid, PB Green trent., Sexual,#  Asexual, # EpiphyticMacrolichen No, # EpiphyticMacrolichen Yes,# Broad Lobes,# Narrow Lobes,# Pruina Pres,# Pruina Abs,# Cor Chem Absent,# Cort Chem Present
113,59,54.2,27,27,4,0,56,2,0,4,0,53,0,21,37,27,31,25,2,9,49,35,22
114,74,65.4,36,30,2,1,64,5,1,1,1,65,5,30,40,39,33,29,4,11,60,41,30
115,108,62,51,45,3,3,97,3,3,5,2,95,4,43,59,57,49,39,12,17,87,60,42
116,83,53.2,41,30,4,3,68,12,1,7,0,68,6,39,41,46,36,32,4,10,72,46,34
117,87,79,42,32,4,3,61,21,2,9,1,70,7,39,45,53,34,31,8,11,75,44,41
118,104,79,50,38,3,5,68,29,6,6,0,94,2,40,60,66,37,42,6,11,92,53,47
119,54,35.6,29,22,1,1,53,0,0,1,3,47,2,31,22,29,24,19,3,10,40,29,21
120,67,63.2,34,21,1,3,54,1,5,5,0,53,6,29,31,41,23,21,5,9,55,31,31
121,111,61.2,63,32,5,6,93,7,2,9,1,90,7,48,57,65,42,31,6,16,90,60,45
122,108,88.2,54,39,5,6,97,4,1,10,2,85,8,47,56,57,49,38,6,13,91,55,48
123,125,89.2,67,40,5,6,101,12,1,10,0,94,17,61,57,74,47,37,10,17,104,66,55
124,92,82.2,41,28,5,2,47,26,9,0,5,85,0,45,40,65,25,33,7,7,78,39,43
125,116,76.2,62,39,8,2,95,9,3,4,1,97,10,49,61,67,47,38,5,19,94,69,42
126,81,58.2,50,21,3,2,67,5,3,0,3,72,5,40,36,56,24,18,9,14,63,35,41
127,94,75.2,41,37,8,2,63,22,4,4,0,88,1,42,49,54,39,35,9,14,79,49,41
128,94,79.2,48,34,6,2,81,8,0,8,2,79,3,36,54,52,40,34,3,18,72,47,43
129,113,84.2,52,43,5,3,75,26,1,10,1,93,4,47,58,69,40,42,9,11,97,58,47
130,94,61.2,48,41,0,2,68,23,0,8,1,82,1,47,45,58,34,34,10,10,81,47,40
131,90,52.2,33,37,7,3,69,13,4,7,0,78,1,38,45,44,43,40,6,15,72,48,36
132,64,78.2,29,22,4,2,39,17,5,3,1,52,5,25,35,41,22,24,4,6,56,36,25
133,93,84.2,44,41,5,1,90,0,2,5,1,79,6,42,48,47,46,38,5,18,74,50,39
134,66,20.2,38,17,5,0,37,22,3,0,1,62,0,39,23,49,16,18,4,7,58,34,28
135,86,82.2,45,31,6,1,77,5,0,4,1,71,5,43,40,45,38,29,3,13,69,42,38
136,60,75.2,31,21,2,0,38,16,4,0,1,56,1,23,31,38,21,23,3,6,52,32,26
137,44,70.2,23,17,1,1,35,3,5,0,1,41,2,19,22,26,18,18,2,5,38,26,17
138,96,74.2,45,32,8,0,69,14,10,0,2,89,1,41,48,58,36,34,5,13,79,45,43
139,72,55.2,24,32,9,1,59,3,5,0,1,69,0,23,42,30,41,32,6,6,64,37,33
140,63,43.2,35,23,2,1,49,9,4,0,0,63,0,32,30,38,25,22,3,3,60,34,28
141,90,66.2,44,33,7,3,84,2,0,6,1,74,5,40,47,45,43,31,5,13,74,49,36
142,99,77.2,53,31,6,2,80,8,3,8,2,79,7,41,51,59,38,29,9,15,80,54,41
143,109,61.2,59,41,4,1,91,13,1,5,2,94,3,48,56,62,44,36,6,19,85,61,41
144,72,89.2,35,29,5,1,68,2,2,2,0,66,3,29,40,37,35,28,3,12,60,40,31
145,93,89.2,45,40,6,1,86,5,1,6,0,80,4,47,44,45,47,36,5,19,73,55,34
146,79,78.2,46,26,6,1,76,1,1,3,0,69,6,35,44,46,33,25,2,13,66,47,31
147,106,80.2,52,42,5,1,84,16,3,6,2,91,4,46,56,60,45,38,9,13,90,57,42
148,79,82.2,38,37,3,1,76,3,0,8,0,68,1,29,49,39,40,31,7,11,68,49,27
149,47,56.2,29,16,0,0,43,2,2,1,0,43,3,18,27,31,16,15,3,5,42,24,21
