LS,Lat,Long,Elevation (m),Slope (degrees),HQ
49,35.36642,-82.86346,1804,30,74.2
52,35.70187,-83.12271,1768,5,68.2
79,35.49973,-83.62104,1582,15,81.2
88,35.50607,-83.60740,1612,10,81.2
92,35.61378,-83.97201,657,15,56
74,35.45144,-83.99180,490,10,75.2
66,35.45506,-84.03722,878,10,77.2
87,35.50256,-83.98089,536,20,69.2
86,35.52186,-83.99718,376,10,67.2
108,35.45656,-83.96443,370,10,77.2
97,35.48365,-83.92867,596,15,75
62,35.50224,-83.94489,564,20,65
71,35.53110,-83.98832,308,30,55.2
85,35.53511,-83.99143,279,15,66.2
110,35.53839,-84.03510,361,15,60.2
109,35.55223,-84.02190,280,10,75.2
97,35.42284,-84.02265,1079,5,84.2
79,35.45622,-84.06817,710,10,58.2
118,35.44468,-84.11520,366,10,63.2
108,35.59925,-83.98684,518,15,61.6
100,35.69981,-83.62651,661,10,72.2
114,35.69410,-83.63719,653,15,72.2
86,35.69430,-83.63253,615,0,66.2
92,35.68058,-83.64336,536,0,62.2
109,35.68400,-83.64254,558,15,59.2
103,35.93908,-81.89010,1255,5,72.6
95,35.92917,-81.89063,1224,20,78.2
70,35.90365,-81.88693,1143,20,89
102,36.02299,-82.42872,1304,10,73.2
117,35.99777,-82.47822,1563,10,79.2
99,35.78431,-82.34505,1773,10,80.2
95,35.66655,-83.17936,1685,10,81.2
94,35.67593,-83.16160,1698,10,89.2
60,36.11168,-81.81091,1809,10,81.2
86,36.11211,-81.81832,1576,5,84.2
81,36.10168,-81.82222,1741,40,76.2
68,36.10564,-81.81786,1757,30,76.2
93,36.11955,-81.79461,1380,20,71.2
146,35.69372,-82.21795,1118,25,79.2
113,36.14974,-82.14852,1500,10,82.2
121,36.15729,-82.20619,1356,15,76.2
100,36.06406,-82.63985,1405,15,71.2
84,36.13209,-82.24800,1327,5,66.2
99,36.10037,-82.08097,1879,5,48.2
89,35.99174,-82.60722,1269,5,69.2
122,35.78895,-83.05519,1274,10,74.2
104,35.78729,-83.03618,1155,5,78.2
111,36.04510,-82.62134,1481,15,77.2
87,36.00523,-82.72446,1085,15,75.2
63,35.85360,-82.89635,1402,10,65.2
79,36.03024,-82.69236,1253,20,75.2
87,36.03832,-82.68928,1384,15,58.2
100,36.01857,-82.71436,1407,5,70.2
97,35.95575,-82.78694,1095,10,68.2
108,35.94914,-82.79238,1065,15,61.2
107,36.04084,-82.60581,1186,15,75.2
106,35.80140,-82.95096,1331,5,70.2
